symbol,shortName,industry,sector,longBusinessSummary,financialCurrency,previousClose,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,volume,averageVolume10days,dividendRate,dividendYield,exDividendDate,trailingAnnualDividendRate,trailingAnnualDividendYield,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,enterpriseValue,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,twoHundredDayAverage,profitMargins,bookValue,priceToBook,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,firstTradeDateEpochUtc,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio,netIncomeToCommon,1Y EBITDA Growth,5Y EBITDA Growth,1Y Total Revenue Growth,5Y Total Revenue Growth,1Y Net Income Growth,5Y Net Income Growth,1Y PreTax Income Growth,5Y PreTax Income Growth,FinancingCashFlow Activity,InvestingCashFlow Activity,OperatingCashFlow Activity,netIncomeMargin,% Away From 52High,% Away From 52Low,MarketCap_Crores,marketCategory
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Oil & Gas Refining & Marketing,Energy,"Reliance Industries Limited engages in hydrocarbon exploration and production, oil and chemicals, textile, retail, digital, material and composites, renewables, and financial services businesses worldwide. It operates through Oil to Chemicals, Oil and Gas, Retail, Digital Services, and Others segments. The company produces and markets petroleum products, such as liquefied petroleum gas, propylene, naphtha, gasoline, jet/aviation turbine fuel, kerosene oil, diesel, sulphur, and petroleum coke. It also provides petrochemicals, including high-density and low-density polyethylene (PE), linear low-density PE, polyester fibers and yarns, polypropylene, polyvinyl chloride, purified terephthalic acid, ethylene glycols and oxide, paraxylene, ortho xylene, benzene, linear alkyl benzene and paraffin, poly butadiene rubber, styrene butadiene rubber, butyl rubber, and polyethylene terephthalate. In addition, the company manufactures and markets yarns, fabrics, apparel, and auto furnishings; explores, develops, and produces crude oil and natural gas; and operates various stores comprising neighborhood, supermarket, hypermarket, wholesale cash and carry, specialty, online stores, as well as stores that offer apparel, beauty and cosmetics, accessories, footwear, consumer electronics, connectivity products, and others. Further, the company provides range of digital television, gaming, broadband, and telecommunication services under the Jio brand name; and non-banking financial and insurance broking services. Additionally, it operates news and entertainment platforms, and Network18 and television channels; publishes magazines; and offers highway hospitality and fleet management services. The company was founded in 1957 and is based in Mumbai, India.",INR,1295.7,1293.2,1950.0,1300.0,1610.0555,1628.75,9567192,16640915.0,5.0,0.0039,1724025600.0,10.0,0.007717836,0.0996,0.44,0.635,25.791782,20.2895,20275464765440.0,1184.95,1608.8,1.8920293,1448.9614,0.07343,605.573,2.135498,50.14,71.85,2.192,12.976,820467900,buy,36.0,2147900063744.0,158.729,1562509967360.0,3575249895424.0,0.553,1.081,9249379844096,37.464,683.526,0.03875,0.08479,-416127483904.0,1797530058752.0,-0.048,-0.002,0.34339002,0.16893,0.11306,,679170015232,0.1567051732797589,0.258124874924955,0.026461692687122295,0.30992909624121556,0.043761806242691374,0.13904494382022473,0.11357208174723007,0.29609996213555473,-166460000000.0,-1143010000000.0,1587880000000.0,0.07342870837611054,0.24404577791524895,0.09135406557238701,1750009.8002944,Large Cap
TCS.NS,TATA CONSULTANCY SERV LT,Information Technology Services,Technology,"Tata Consultancy Services Limited provides information technology (IT) and IT enabled services in the Americas, Europe, India, and internationally. It operates through Banking, Financial Services and Insurance; Manufacturing; Consumer Business; Communication, Media and Technology; Life Sciences and Healthcare; and Others segments. The company provides TCS ADD, a suite of technology platforms for clinical research and drug development; TCS BaNCS, a financial services platform; TCS BFSI Platforms, a cloud-native, as-a-service that helps financial institutions and insurance firms; TCS CHROMA, a cloud-based workforce management solution; customer intelligence and insight solutions; TCS ERP on Cloud, a hosted ERP applications and services platform; TCS HOBS, a cloud-native catalog-centric platform for personalization of products and processes; and ignio, an autonomous enterprise software. It also offers TCS Intelligent Urban Exchange for smart cities and enterprises solution; TCS OmniStore, a retail commerce platform; TCS Optumera, a retail-connected strategic intelligence platform; TCS TAP, a procurement offering; TCS MasterCraft, a platform of intelligent automation products; Quartz- the Smart Ledgers, a blockchain solution; Jile, an enterprise agile planning and delivery tool; TCS iON, an IT-as-a-Service model that provides business solutions; and TCS TwinX, an enterprise digital twin platform. In addition, the company offers cloud, cognitive business, consulting, cybersecurity, data and analytics, enterprise solutions, Internet of Things and digital engineering, TCS interactive, and sustainability services. It serves banking; capital markets; consumer goods and distribution; communications, media, and information services; education; energy, resources, and utilities; healthcare; high technology; insurance; life sciences; manufacturing; public services; retail; and travel and logistics industries. The company was founded in 1968 and is based in Mumbai, India. Tata Consultancy Services Limited is a subsidiary of Tata Sons Private Limited.",INR,4352.7,4332.55,5710.0,3050.0,4498.6,4500.0,1558903,2451019.0,40.0,0.0092,1729209600.0,57.0,0.013095319,0.42810002,1.28,0.518,33.06785,27.978853,15370169614336.0,3475.8,4592.25,6.3032002,4092.2432,0.19076,280.521,15.444654,131.02,154.68,6.18,23.579,1029123900,buy,45.0,477630005248.0,132.012,651870011392.0,90469998592.0,2.362,2.618,2486920019968,8.836,685.788,0.24511999,0.46772,306369986560.0,443359985664.0,0.062,0.077,0.39264,0.26212,0.24067,2.3368,474409992192,0.08056388339605793,0.13273630198230915,0.06846064455463989,0.15575872381636893,0.08923529551332242,0.13853427895981088,0.08944418085648514,0.13891681901279707,-485360000000.0,60260000000.0,443380000000.0,0.1907620624639567,0.05994160482856503,0.2464900166868058,1567555.4791424,Large Cap
HDFCBANK.NS,HDFC BANK LTD,Banks - Regional,Financial Services,"HDFC Bank Limited engages in the provision of banking and financial services to individuals and businesses in India, Bahrain, Hong Kong, Singapore, and Dubai. The company operates in three segments: Treasury, Retail Banking, Wholesale Banking, and Other Banking Services. It accepts savings, salary, current, rural, public provident fund, pension, and demat accounts; fixed and recurring deposits; and safe deposit lockers, as well as offshore accounts and deposits, and overdrafts against fixed deposits. The company also provides personal, home, car, two-wheeler, business, doctor, educational, gold, consumer, and rural loans; loans against properties, securities, mutual funds, rental receivables, and assets; loans for professionals; government sponsored programs; and loans on credit card, as well as working capital and commercial/construction equipment finance, healthcare/medical equipment and commercial vehicle finance, dealer finance, and term loans. In addition, it offers credit, debit, prepaid, and forex cards; payment and collection, export, import, remittance, bank guarantee, letter of credit, trade, hedging, and merchant and cash management services; insurance and investment products. Further, the company provides short term finance, bill discounting, structured finance, export credit, loan repayment, and documents collection services; online and wholesale, mobile, and phone banking services; unified payment interface, immediate payment, national electronic funds transfer, and real time gross settlement services; and channel financing, vendor financing, reimbursement account, money market, derivatives, employee trusts, cash surplus corporates, tax payment, and bankers to rights/public issue services, as well as financial solutions for supply chain partners and agricultural customers. It operates branches and automated teller machines in various cities/towns. The company was incorporated in 1994 and is headquartered in Mumbai, India.",INR,1785.55,1812.3,2550.0,1545.0,1936.4525,1950.0,16355393,41256323.0,19.5,0.0109,1715299200.0,,,0.2152,0.67,0.833,20.505772,16.297663,17753190694912.0,1363.55,1817.35,5.0166454,1598.11,0.25056,632.437,2.865582,88.38,96.36,6.43,,820467900,strong_buy,40.0,2663853850624.0,349.683,,6660388552704.0,,,2761061040128,,363.255,0.01712,0.1153,,-1467762343936.0,0.39,0.63,,,0.32936,,691810074624,,,1.1060352172560406,0.5700738928790622,0.29301525551981455,0.32174376666336374,0.1559586933095082,0.24696063864576903,-39830600000.0,53137700000.0,190693400000.0,0.25055950034046637,0.0027865143739997933,0.3291041765978513,1385126.428672,Large Cap
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Telecom Services,Communication Services,"Bharti Airtel Limited operates as a telecommunications company in India and internationally. It operates through Mobile Services India, Mobile Services Africa, Mobile Services South Asia, Airtel Business, Tower Infrastructure Services, Homes Services, Digital TV Services, and Others segments. The company engages in provision of voice and data telecom services through wireless technology including 2G/3G/4G/5G services; and operates as a single point of contact for telecommunication across data and voice, network integration, and managed services. It also provides services related to setting up, operation, and maintenance of wireless communication towers; and voice and data communications services through fixed-line network and broadband technology for homes, as well as offers digital broadcasting services under the DTH platform. In addition, the company offers post-paid, prepaid, roaming, internet, and various value-added services, as well as mobile TV, video calls, live-streaming videos, gaming, video streaming, and other services; and network integration, data centers, managed services, enterprise mobility applications and digital media services. The company was formerly known as Bharti Tele-Ventures Limited and changed its name to Bharti Airtel Limited in April 2006. Bharti Airtel Limited was incorporated in 1995 and is headquartered in New Delhi, India.",INR,1577.25,1577.65,2070.0,1120.0,1778.75,1836.0,4982641,6649175.0,8.0,0.0050999997,1722988800.0,8.0,0.005072119,0.3868,0.8,0.291,76.36254,32.96497,11488569851904.0,960.0,1779.0,6.0672717,1436.6617,0.0789,150.527,10.4808445,20.66,,7.389,15.89,1025495100,buy,36.0,125100998656.0,21.621,722990989312.0,2255408070656.0,0.118,0.359,1554783010816,204.474,270.184,0.0544,0.12929,39372623872.0,856934973440.0,1.597,0.12,0.63526,0.46501,0.26152,,122668998656,0.013144988705266912,0.4885647391289671,0.07788720814575895,0.16354820349620372,-0.10530919373584634,-0.49834808455155194,-0.23439226602740224,-0.6250419881926902,-277785000000.0,-502039000000.0,788982000000.0,0.07889782548602674,0.12762653313472572,0.6433854166666668,943329.0637312,Large Cap
ICICIBANK.NS,ICICI BANK LTD.,Banks - Regional,Financial Services,"ICICI Bank Limited, together with its subsidiaries, engages in the provision of various banking and financial services to retail and corporate customers in India and internationally. The company operates through Retail Banking, Wholesale Banking, Treasury, Other Banking, Life Insurance, and Others segments. It accepts savings, salary, pension, current, trade, escrow, foreign currency, and vostro accounts, as well as time, fixed, recurring, and security deposits services. The company also provides home, car, two-wheeler, personal, gold, and commercial business loans, as well as loans against securities and other loans; business loans, including working capital finance, term loans, collateral free loans, loans without financials, finance for importers and exporters, and overdraft facilities, as well as loans for new entities and card swipes; and credit, debit, prepaid, travel, forex, and corporate cards. In addition, it offers pockets wallet; fixed income products; investment products, such as mutual funds, gold monetization schemes, initial public offerings, and other online investment services; and agri and rural business, farmer finance, tractor loans, and micro banking services. Further, the company provides portfolio management, trade, foreign exchange, locker, private and NRI banking, and cash management services; family wealth and demat accounts; commercial and investment banking, capital market, custodial, and institutional banking services; health, personal accident, fire, and motor insurance, as well as distributes general and life insurance products; and Internet, mobile, and phone banking services. Additionally, it offers securities investment, broking, trading, and underwriting services; and merchant banking, trusteeship, housing finance, pension fund management, asset management, investment advisory, points of presence, and private equity/venture capital fund management services. The company was founded in 1955 and is headquartered in Mumbai, India.",INR,1304.95,1300.7,1650.0,1170.0,1465.225,1465.0,21937074,11382863.0,10.0,0.0077,1723420800.0,,,0.1512,0.99,0.829,19.659914,17.689728,9905932075008.0,926.0,1362.35,5.6011863,1180.172,0.28909,397.441,3.2726867,66.16,37.94,6.046,,1025495100,strong_buy,40.0,1643846303744.0,233.261,,2197605449728.0,,,1638509182976,,233.246,0.02158,0.18731001,,-23252623360.0,0.182,0.274,,,0.37491,,473677332480,,,0.20136261794734525,0.11999029093946535,0.3002567956118631,0.46909643417515623,0.3016283132973437,0.6734799173256628,137645136000.0,-1459310924000.0,1572844783000.0,0.2890904350134107,0.04739755516260469,0.40464362850971924,917759.5379712,Large Cap
INFY.NS,INFOSYS LIMITED,Information Technology Services,Technology,"Infosys Limited, together with its subsidiaries, provides consulting, technology, outsourcing, and next-generation digital services in North America, Europe, India, and internationally. It provides digital marketing and digital workplace, digital commerce, digital experience and interactions, metaverse, data analytics and AI, applied AI, generative AI, sustainability, blockchain, engineering, Internet of Things, enterprise agile DevOps, application modernization, cloud, digital process automation, digital supply chain, Microsoft business application and cloud business, service experience transformation, energy transition, cyber security, and quality engineering solutions; Oracle, SAP, and Saleforce solutions; API economy and microservices; and Topaz, an AI-first set of services, solutions, and platforms using generative AI technologies. The company's products and platforms include Finacle, a core banking solution; Edge suite of products; Panaya platform, Infosys Equinox, Infosys Helix, Infosys Applied AI, Infosys Cortex, and Stater digital platforms; and Infosys McCamish, an insurance platform. It serves aerospace and defense, agriculture, automotive, chemical manufacturing, communication, consumer packaged goods, education, engineering procurement and construction, healthcare, high technology, industrial manufacturing, information services and publishing, insurance, life science, logistics and distribution, media, entertainment, mining, oil and gas, private equity, professional, public, retail, travel, hospitality, utilities, and waste management industries. The company was formerly known as Infosys Technologies Limited and changed its name to Infosys Limited in June 2011. Infosys Limited was incorporated in 1981 and is headquartered in Bengaluru, India.",USD,1924.15,1924.5,2330.0,1530.0,2029.0,2110.0,4446914,6178882.0,41.0,0.021300001,1730160000.0,0.49,0.0002546579,0.5924,2.14,0.626,29.589483,26.668669,7967267094528.0,1358.35,1991.45,423.19485,1685.5017,0.17159,2.605,738.7716,65.04,72.32,422.981,1836.622,820467900,buy,43.0,3488000000.0,0.842,4337999872.0,1051000000.0,1.891,2.193,18836000768,9.697,4.55,0.15253,0.31404,2286749952.0,3671000064.0,0.042,0.037,0.29518,0.23030001,0.21945,3.4118,3232000000,0.06041844577284372,0.07416523094593486,0.019218097957390733,0.12292603790280952,0.062395169406239515,0.07067227962750351,0.053575757575757575,0.06952169076751946,-2116000000.0,-708000000.0,3148000000.0,0.17158631706422323,0.03478825669004948,0.4167924319946996,797129.834496,Large Cap
SBIN.NS,STATE BANK OF INDIA,Banks - Regional,Financial Services,"State Bank of India provides banking products and services to individuals, commercial enterprises, corporates, public bodies, and institutional customers in India and internationally. The company operates through Treasury, Corporate/Wholesale Banking, Retail Banking, Insurance Business, and Other Banking Business segments. It offers personal banking products and services, including current accounts, savings accounts, salary accounts, and fixed and recurring deposits; home, personal, auto, education, and gold loans, as well as loans against insurance policies, property, and securities; overdrafts; mutual funds, insurance, equity trading, portfolio investment schemes, remittance services; digital lending; and mobile, internet, and digital banking services. The company also provides corporate banking products and services comprising corporate accounts, working capital and project finance, deferred payment guarantees, corporate term loans, structured finance, dealer and channel financing, equipment leasing, loan syndication, construction equipment loans, financing Indian firms' overseas subsidiaries or JVs, and cash management, as well as trade and service products. In addition, it offers NRI services, including accounts and deposits, remittances, investments, and loans; agricultural banking services; supply chain finance, and deposits and transaction banking services for SME customers; and international banking services. Further, the company provides life and general insurance; estate planning services; and merchant banking, advisory, securities broking, business & management consultancy, trusteeship service, factoring, payment solution, asset management, investment management, credit cards, and custody and fund accounting services. The company was founded in 1806 and is headquartered in Mumbai, India.",INR,839.4,834.1,1102.0,690.0,957.87805,990.0,8373014,16087250.0,13.7,0.0163,1716336000.0,13.7,0.01632118,0.1709,1.39,0.76,10.405438,10.014946,10138543980544.0,563.65,912.0,2.215301,807.8657,0.21295,518.846,1.607606,80.16,82.67,3.017,,820467900,buy,41.0,3549721001984.0,397.745,,6066625052672.0,,,3360276873216,,376.517,0.01121,0.16746001,,-4326515802112.0,0.229,0.05,,,0.32476002,,715560058880,,,0.19707481871653937,0.24230570509015967,0.20551426443241635,0.6647072229401823,0.21010334009223355,0.594016916162732,-98962800000.0,-42517153000.0,216324310000.0,0.21294675584133138,0.09339407744874717,0.4798190366362105,744402.5049088,Large Cap
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Household & Personal Products,Consumer Defensive,"Hindustan Unilever Limited, a fast-moving consumer good company, manufactures and sells food, home care, personal care, and refreshment products in India and internationally. The company operates through Home Care, Beauty & Personal Care, Foods & Refreshment, and Others segments. The Home Care segment engages in detergent bars and powders, detergent liquids, scourers, water business, purifiers business, etc. The Beauty & Personal Care segment provides oral, skin, and hair care products; and soaps, deodorants, talcum powder, color cosmetics, salon services, etc. The Foods & Refreshment segment provides culinary products, including tomato-based products, fruit-based products, soups, etc.; and tea, coffee, nutrition drinks, ice-cream, and frozen desserts. The Others segment engages in activities, such as export, consignment, etc. The company is also involved in the job work, real estate, and discharge trust businesses. The company was founded in 1888 and is headquartered in Mumbai, India.",INR,2479.2,2486.9,3400.0,2110.0,2878.282,2900.0,948205,1818972.0,43.0,0.0173,1730851200.0,43.0,0.017344305,0.96089995,1.43,0.147,56.999767,48.79493,5731467657216.0,2172.05,3035.0,9.362595,2538.5576,0.16452,216.156,11.5051155,43.63,,9.184,40.266,820467900,buy,39.0,128999997440.0,54.916,142339997696.0,16510000128.0,1.157,1.644,624099983360,3.238,265.67,0.10564999,0.20233999,74808745984.0,117009997824.0,-0.024,0.019,0.51583,0.22806999,0.21694,,102680002560,0.059274469541409996,0.10174018160861376,0.023795529731817495,0.10538776508854875,0.015513833992094862,0.09514279758182198,0.043615107913669064,0.10434345339116224,-100340000000.0,-53240000000.0,154690000000.0,0.16452492436740065,0.22039486911415818,0.1449552266292211,584319.500288,Large Cap
LICI.NS,LIFE INSURA CORP OF INDIA,Insurance - Life,Financial Services,"Life Insurance Corporation of India provides life insurance products in India, Fiji, Mauritius, and the United Kingdom. It offers insurance plans, including endowment, whole life, term insurance plans, money back, and term assurance plans, as well as riders comprising accidental death and disability benefit, critical illness benefit, and premium waiver benefit riders. The company also provides pension, unit linked, micro insurance, withdrawal, and health plans, as well as various group schemes. Life Insurance Corporation of India was incorporated in 1956 and is based in Mumbai, India.",INR,907.2,916.3,1385.0,870.0,1162.3889,1196.5,778592,1072459.0,13.0,0.0143,1721347200.0,,,0.1523,,0.522,13.950974,12.894446,5310828249088.0,667.15,1222.0,0.66814846,999.9665,0.05431,130.825,7.004013,65.68,60.52,0.612,10.301,1652759100,none,18.0,437919514624.0,69.236,515563913216.0,11200000.0,,,8675542958080,0.001,1254.09,,,,,0.095,0.101,0.10604999,0.05943,0.06021,,471211507712,,,0.07986078193816161,0.07839591366955488,0.13665716115249613,4.252403412985976,0.13790272648107282,4.2549595607837665,-44272000000.0,-254000200000.0,,0.05431492991146282,0.33362435883444297,0.3734542456718879,579655.0672384,Large Cap
ITC.NS,ITC LTD,Tobacco,Consumer Defensive,"ITC Limited engages in the fast-moving consumer goods, hotels, paperboards and paper and packaging, agri, and information technology businesses in India and internationally. It primarily offers cigarettes and cigars; staples, spices, biscuits, confectionery and gums, snacks, noodles and pasta, beverages, dairy, ready to eat meals, chocolate, coffee, and frozen foods; personal care products; notebooks, pens and pencils, geometry boxes, erasers, sharpeners, rulers, wax and plastic crayons, sketch pens, and oil pastels; safety matches; and incense sticks under various brands. The company also operates hotels under the ITC Hotel, Mementos, Welcomhotel, Storii, Fortune, and WelcomHeritage brands; and Kaya Kalp spas. In addition, it offers virgin, recycled, coated barrier, cupstock base, liner, liquid packaging, anti-fungal, solid, and graphic boards, as well as specialty papers; overlay, surfacing/print base, barrier, and liner papers; plastic substitution products; and packaging products, such as carton board, flexible, tobacco, and green packaging products. Further, the company exports feed ingredients, food grains, marine products, processed fruits, coffee products, leaf tobacco products, and spices; and offers information technology services for the banking, financial services, consumer goods, manufacturing, travel, hospitality, and healthcare industries. Additionally, it provides property infrastructure and estate maintenance; engineering, procurement, and construction management; project management consultancy; cartooning and wrapping; conveyor; and business consulting, real estate development, and agro-forestry and other related services. The company also manages and operates golf courses; fabricates and assembles machinery for tube filling; and produces and commercializes seed potato technology products. ITC Limited was incorporated in 1910 and is headquartered in Kolkata, India.",INR,477.0,476.95,595.0,420.0,540.9143,540.0,7066143,12151103.0,15.0,0.031400003,1717459200.0,7.5,0.015723271,0.83739996,4.03,0.241,29.064596,25.110865,5785600393216.0,399.35,528.5,7.9417114,459.596,0.27337998,60.148,7.9296074,16.41,18.95,7.7,21.856,820467900,buy,35.0,190998691840.0,15.263,264712994816.0,3043399936.0,1.667,3.052,751352676352,0.402,60.164,0.17,0.28645,96529309696.0,161626603520.0,0.018,0.167,0.58748,0.35232,0.301,,205402406912,0.044473127232614734,0.15918972261536127,0.0010003527642165545,0.14546444490792934,0.06602451273105088,0.1848259921785188,0.04726044100895539,0.17098938557649226,-185509600000.0,15627700000.0,171788600000.0,0.2733768220661416,0.10808260823985738,0.19431576311506182,596702.6061312,Large Cap
