Name,Ticker,Sub-Sector,Market Cap,Debt to Equity,Long Term Debt to Equity,Cash Conversion Cycle,Quick Ratio,Current Ratio,Interest Coverage Ratio,Working Capital Turnover Ratio,Net Income / Liabilities,Earning Power
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing,1980407.57,49.5784132,37.63269777,12.31848311,0.798581664,1.183037343,5.530106411,17.94005045,8.395557485,7.284416153
Tata Consultancy Services Ltd,TCS,IT Services & Consulting,1572475.107,8.78349522,7.135426363,-904.3622951,2.450026028,2.450633351,80.68766067,3.672600156,84.77462006,43.15263418
,HKSF,,,,,,,,,,,
HDFC Bank Ltd,HDFCBANK,Private Banks,1292493.005,,,,,,,-0.212853795,1.796443636,1.897222282
Bharti Airtel Ltd,BHARTIARTL,Telecom Services,990567.7387,204.229192,175.1448175,-219.3880074,0.417632644,0.420256902,1.559836098,-2.128032187,2.219314126,7.992118894
ICICI Bank Ltd,ICICIBANK,Private Banks,907662.5288,,,,,,,-0.20044078,2.10823354,2.550782285
Infosys Ltd,INFY,IT Services & Consulting,783709.6662,9.449361866,7.234826647,99.13571709,2.305304944,2.305304944,77.57021277,3.847327317,55.15885532,26.80341126
State Bank of India,SBIN,Public Banks,707498.6507,,,,,,,-0.135281486,1.062079048,1.352323556
Hindustan Unilever Ltd,HINDUNILVR,FMCG - Household Products,675707.2031,2.885868191,2.150788558,-46.87829491,1.343740292,1.65610438,42.69461078,9.375465792,37.97014705,18.16815095
Life Insurance Corporation Of India,LICI,Insurance,644264.2658,0,0,,3.089573976,3.089573976,,6.344472733,0.781859289,0.884370265
ITC Ltd,ITC,FMCG - Tobacco,634573.0201,0.405167741,0.310281871,114.5126458,1.965805236,2.999586572,339.9942543,2.762750668,121.3162951,29.66622589
Larsen and Toubro Ltd,LT,Construction & Engineering,512934.9725,113.4301372,56.79370366,85.18529085,1.19169564,1.229182405,3.156932645,4.524751888,5.520796452,8.855749302
HCL Technologies Ltd,HCLTECH,IT Services & Consulting,475332.3052,8.434034949,6.682193025,38.27604223,2.602569744,2.6107102,38.91500904,3.240912859,51.08833577,21.7360564
Bajaj Finance Ltd,BAJFINANCE,Consumer Finance,471975.5567,382.4818975,345.2257666,-20.99595022,0.415965264,0.415965264,,-3.49991901,4.832419411,5.139055397
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Pharmaceuticals,440517.9005,4.878358811,0.452448568,254.6741767,1.97628795,2.557330322,47.49595337,2.150081996,52.61212459,13.27704775
